,alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
386,9.2,48.0,0.54,7.8,2.0,0.088,23.0,3.41,0.74,0.26,0.9981
538,12.0,35.0,0.35,12.9,5.8,0.066,5.0,3.2,0.66,0.49,1.0014
1235,11.5,113.0,0.33,6.0,12.9,0.054,6.0,3.3,0.56,0.32,0.99572
745,9.5,28.0,0.51,7.3,2.1,0.07,12.0,3.52,0.73,0.18,0.99768
1514,9.23333333333333,65.0,0.84,6.9,4.1,0.074,16.0,3.53,0.72,0.21,0.99842
375,11.8,15.0,0.54,11.5,4.4,0.124,6.0,3.01,0.83,0.71,0.9984
452,10.0,35.0,0.56,6.8,1.7,0.084,18.0,3.44,0.63,0.03,0.9968
1566,11.2,52.0,0.16,6.7,2.1,0.059,24.0,3.34,0.71,0.64,0.99494
1001,10.6,47.0,0.35,9.9,1.5,0.058,31.0,3.26,0.82,0.38,0.99676
385,9.7,37.0,0.63,7.4,2.4,0.09,11.0,3.43,0.76,0.07,0.9979
130,9.4,134.0,0.745,8.0,2.0,0.118,30.0,3.24,0.66,0.56,0.9968
1293,9.7,12.0,0.755,7.5,1.9,0.084,6.0,3.34,0.49,0.0,0.99672
863,9.7,84.0,0.62,7.2,2.5,0.078,17.0,3.51,0.53,0.06,0.99746
886,10.4,28.0,0.8,9.0,2.4,0.083,8.0,3.33,0.65,0.12,0.99836
1207,10.0,52.0,0.72,9.9,1.7,0.136,24.0,3.35,0.94,0.55,0.99752
151,9.4,69.0,0.52,9.2,3.4,0.61,32.0,2.74,2.0,1.0,0.9996
1311,12.8,27.0,0.51,6.5,3.0,0.064,12.0,3.33,0.59,0.15,0.9929
638,10.2,23.0,0.915,7.7,2.2,0.143,7.0,3.35,0.65,0.12,0.9964
1077,11.0,8.0,0.37,8.6,6.4,0.08,3.0,3.27,0.58,0.65,0.99817
562,9.2,110.0,0.54,9.0,2.9,0.094,41.0,3.08,0.61,0.49,0.9982
446,10.5,72.0,0.38,12.5,2.6,0.081,31.0,3.1,0.73,0.6,0.9996
351,9.4,26.0,0.795,9.1,2.6,0.096,11.0,3.35,0.83,0.0,0.9994
355,12.8,32.0,0.75,6.7,2.4,0.078,17.0,3.55,0.61,0.01,0.9955
1252,9.8,14.0,0.72,7.1,1.8,0.123,6.0,3.45,0.58,0.0,0.99627
376,11.0,47.0,0.45,11.5,3.0,0.078,19.0,3.26,1.11,0.5,1.0003
1148,11.6,21.0,0.39,7.8,2.0,0.086,9.0,3.39,0.66,0.42,0.99526
378,13.3,24.0,0.625,11.4,6.2,0.088,6.0,3.11,0.99,0.66,0.9988
1104,12.4,25.0,0.48,8.0,2.2,0.073,16.0,3.28,0.66,0.34,0.9936
1090,11.8,74.0,0.26,10.0,1.9,0.083,42.0,2.98,0.63,0.54,0.99451
196,10.2,55.0,0.58,7.3,2.4,0.074,15.0,3.46,0.59,0.3,0.9968
738,9.2,104.0,0.46,9.0,2.8,0.092,28.0,3.1,0.56,0.23,0.9983
658,9.6,20.0,0.52,7.2,1.4,0.074,5.0,3.32,0.81,0.07,0.9973
1580,11.9,26.0,0.35,7.4,2.4,0.068,9.0,3.36,0.6,0.33,0.9947
1518,10.5,20.0,0.47,7.4,2.2,0.114,7.0,3.32,0.63,0.46,0.99647
1047,10.4,51.0,0.43,7.1,1.8,0.082,27.0,3.49,0.64,0.17,0.99634
698,9.7,72.0,0.615,9.4,3.2,0.087,18.0,3.31,0.53,0.28,1.0001
963,11.2,27.0,0.27,8.8,2.0,0.1,20.0,3.15,0.69,0.39,0.99546
696,9.5,25.0,0.65,7.0,2.1,0.066,8.0,3.47,0.67,0.02,0.9972
361,9.9,50.0,0.45,8.6,2.6,0.086,21.0,3.37,0.91,0.31,0.9982
250,10.0,37.0,0.32,10.8,1.6,0.063,16.0,3.22,0.78,0.44,0.9985
10,9.2,65.0,0.58,6.7,1.8,0.097,15.0,3.28,0.54,0.08,0.9959
393,9.1,95.0,0.665,8.4,2.0,0.112,13.0,3.16,0.54,0.61,0.997
314,11.0,72.0,0.36,7.4,2.6,0.087,26.0,3.39,0.68,0.29,0.99645
1257,11.0,69.0,0.58,7.0,4.8,0.085,12.0,3.32,0.7,0.28,0.99633
485,10.0,17.0,0.67,10.2,1.9,0.054,6.0,3.17,0.47,0.39,0.9976
743,10.0,101.0,0.41,11.6,2.8,0.096,25.0,3.13,0.53,0.58,1.00024
623,12.1,45.0,0.51,7.9,2.9,0.077,21.0,3.49,0.96,0.25,0.9974
69,10.5,19.0,0.705,8.0,1.9,0.074,8.0,3.34,0.95,0.05,0.9962
1071,9.2,92.0,0.77,7.5,8.1,0.098,30.0,3.2,0.58,0.2,0.99892
746,9.0,57.0,0.34,8.2,2.5,0.08,12.0,3.3,0.47,0.38,0.9978
177,10.5,38.0,0.52,7.5,2.3,0.087,8.0,3.58,0.61,0.42,0.9972
29,9.8,16.0,0.645,7.8,2.0,0.082,8.0,3.38,0.59,0.0,0.9964
199,11.4,31.0,1.09,6.9,2.1,0.061,12.0,3.51,0.43,0.06,0.9948
1483,10.7,12.0,0.33,8.1,1.5,0.042,6.0,3.35,0.61,0.44,0.99542
924,11.2,28.0,0.47,8.6,2.3,0.055,14.0,3.18,0.8,0.27,0.99516
961,9.3,18.0,0.56,7.1,1.6,0.078,7.0,3.27,0.62,0.14,0.99592
826,11.0,8.0,0.27,7.5,2.3,0.05,4.0,3.4,0.64,0.34,0.9951
678,10.0,87.0,0.78,8.3,2.6,0.081,45.0,3.48,0.53,0.1,0.9983
1582,11.9,27.0,0.715,6.1,2.6,0.053,13.0,3.57,0.5,0.1,0.99362
214,9.8,41.0,0.735,7.8,2.4,0.092,10.0,3.24,0.71,0.08,0.9974
917,10.1,45.0,0.41,6.8,8.8,0.084,26.0,3.38,0.64,0.31,0.99824
208,9.4,95.0,0.44,7.8,2.7,0.1,18.0,3.22,0.67,0.28,0.9966
348,10.0,46.0,0.56,9.6,2.8,0.089,15.0,3.11,0.92,0.31,0.9979
1075,10.2,67.0,0.25,9.1,2.0,0.071,45.0,3.44,0.86,0.34,0.99769
232,9.6,58.0,0.37,8.5,2.8,0.09,18.0,3.34,0.7,0.2,0.998
106,9.3,69.0,0.41,7.8,1.7,0.467,18.0,3.08,1.31,0.68,0.9973
1193,10.8,12.0,0.885,6.4,2.3,0.166,6.0,3.56,0.51,0.0,0.99551
915,11.9,6.0,0.315,8.6,2.2,0.079,3.0,3.27,0.67,0.4,0.99512
289,9.2,98.0,0.42,11.6,3.3,0.105,33.0,3.2,0.95,0.53,1.001
434,9.9,54.0,0.41,10.4,3.2,0.076,22.0,3.15,0.89,0.55,0.9996
569,11.7,42.0,0.36,6.2,2.2,0.095,19.0,3.57,0.57,0.24,0.9946
871,10.6,46.0,0.56,6.9,1.5,0.086,36.0,3.53,0.57,0.03,0.99522
323,9.5,73.0,0.59,10.3,2.8,0.09,35.0,3.28,0.7,0.42,0.999
476,9.7,16.0,0.27,9.3,2.0,0.091,6.0,3.28,0.7,0.41,0.998
166,10.2,101.0,0.64,6.8,2.1,0.085,18.0,3.34,0.52,0.1,0.9956
572,10.4,28.0,0.24,10.2,2.4,0.075,10.0,3.14,0.61,0.49,0.9978
1234,12.8,18.0,0.75,7.1,2.2,0.059,11.0,3.39,0.4,0.01,0.99242
1080,11.8,8.0,0.27,10.3,1.4,0.047,3.0,3.16,0.51,0.56,0.99471
1181,11.4,11.0,0.39,9.8,1.65,0.068,5.0,3.19,0.46,0.43,0.99478
804,9.9,18.0,0.52,8.4,2.7,0.084,4.0,3.26,0.57,0.22,0.99682
648,11.2,28.0,0.48,8.7,2.8,0.066,10.0,3.33,0.67,0.3,0.9964
1583,9.8,98.0,0.46,6.2,2.1,0.074,32.0,3.33,0.62,0.29,0.99578
270,10.7,61.0,0.545,7.9,4.0,0.087,27.0,3.36,0.67,0.06,0.9965
484,13.4,24.0,0.44,10.6,4.1,0.114,6.0,3.06,0.66,0.68,0.997
1010,12.3,12.0,0.28,8.9,1.7,0.067,7.0,3.25,0.55,0.45,0.99354
459,9.0,47.0,0.58,11.6,2.2,0.074,10.0,3.25,0.57,0.66,1.0008
560,11.4,19.0,0.6,12.7,2.8,0.075,5.0,3.14,0.57,0.49,0.9994
482,9.4,18.0,0.36,10.6,2.2,0.152,6.0,3.04,1.05,0.59,0.9986
674,9.3,17.0,0.4,10.8,2.2,0.084,7.0,3.08,0.67,0.41,0.9984
397,11.0,49.0,0.59,11.5,2.6,0.087,13.0,3.18,0.65,0.59,0.9988
544,8.4,15.0,0.31,14.3,1.8,0.075,6.0,2.86,0.79,0.74,1.0008
152,10.1,99.0,0.6,7.5,1.8,0.095,25.0,3.35,0.54,0.03,0.995
1322,11.4,18.0,0.34,9.1,1.8,0.058,9.0,3.18,0.55,0.42,0.99392
1336,9.5,26.0,0.5,6.0,1.4,0.057,15.0,3.36,0.45,0.0,0.99448
1508,10.6,25.0,0.27,7.1,2.1,0.074,17.0,3.38,0.72,0.6,0.99814
982,12.9,70.0,0.52,7.3,2.1,0.07,51.0,3.34,0.82,0.32,0.99418
469,9.8,48.0,0.82,8.7,1.2,0.07,36.0,3.2,0.58,0.02,0.9952
1301,11.7,57.0,0.86,6.7,2.0,0.1,20.0,3.6,0.74,0.07,0.99598
602,9.3,14.0,0.835,7.7,2.6,0.081,6.0,3.3,0.52,0.0,0.9975
1196,9.5,94.0,0.58,7.9,2.3,0.076,23.0,3.21,0.58,0.23,0.99686
217,9.1,41.0,0.725,8.1,2.2,0.072,11.0,3.36,0.55,0.22,0.9967
839,10.0,26.0,0.5,6.0,2.2,0.092,13.0,3.46,0.47,0.04,0.99647
59,9.4,46.0,0.39,7.3,2.4,0.074,9.0,3.41,0.54,0.31,0.9962
718,9.6,22.0,0.56,8.4,2.0,0.082,10.0,3.22,0.44,0.04,0.9976
431,9.2,66.0,0.55,7.8,2.2,0.074,21.0,3.25,0.56,0.35,0.9974
813,11.4,7.0,0.39,6.9,2.1,0.102,4.0,3.44,0.58,0.24,0.99462
44,9.5,11.0,0.67,6.8,1.8,0.05,5.0,3.48,0.52,0.02,0.9962
958,11.3,36.0,0.57,6.4,2.3,0.12,25.0,3.47,0.71,0.12,0.99519
1544,11.2,19.0,0.37,8.4,2.3,0.063,12.0,3.17,0.81,0.43,0.9955
125,9.4,90.0,0.62,9.0,1.9,0.146,27.0,3.16,0.7,0.04,0.9984
1217,12.0,74.0,0.34,8.2,1.9,0.057,43.0,3.23,0.81,0.37,0.99408
1135,11.9,50.0,0.25,8.0,1.7,0.067,22.0,3.38,0.6,0.43,0.9946
772,9.4,144.0,0.57,9.5,2.3,0.082,23.0,3.27,0.55,0.27,0.99782
834,9.4,23.0,0.685,8.8,1.6,0.088,16.0,3.32,0.47,0.26,0.99694
1472,11.1,44.0,0.35,7.6,2.6,0.073,23.0,3.38,0.79,0.6,0.99656
845,9.8,31.0,0.64,6.4,1.8,0.081,14.0,3.59,0.66,0.21,0.99689
120,9.0,89.0,1.07,7.3,1.7,0.178,10.0,3.3,0.57,0.09,0.9962
293,10.1,16.0,0.36,6.9,2.4,0.098,5.0,3.41,0.6,0.25,0.9964
925,11.0,77.0,0.22,8.6,1.9,0.064,53.0,3.47,0.87,0.36,0.99604
475,10.2,28.0,0.68,9.6,2.2,0.087,5.0,3.14,0.6,0.24,0.9988
224,10.4,55.0,0.635,8.4,2.0,0.089,15.0,3.31,0.57,0.36,0.99745
727,9.5,11.0,0.57,6.4,1.8,0.067,4.0,3.46,0.68,0.02,0.997
952,11.2,10.0,0.31,8.2,2.2,0.058,6.0,3.31,0.68,0.4,0.99536
1246,10.0,48.0,0.74,7.4,1.7,0.086,15.0,3.12,0.48,0.07,0.99502
937,10.4,26.0,0.63,12.0,1.4,0.071,6.0,3.07,0.6,0.5,0.99791
1419,9.9,133.0,0.64,7.7,2.2,0.077,32.0,3.27,0.45,0.21,0.9956
67,10.7,15.0,0.705,6.6,1.6,0.076,6.0,3.44,0.58,0.07,0.9962
