alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
12.0,80.0,0.34,6.3,4.6,0.034,19.0,3.38,0.58,0.33,0.9917
11.7,100.0,0.28,6.7,2.4,0.012,36.0,3.26,0.39,0.28,0.99064
8.7,129.0,0.19,6.6,1.2,0.122,45.0,3.09,0.31,0.99,0.9936
11.0,89.0,0.16,5.7,1.2,0.036,7.0,3.26,0.48,0.32,0.99111
11.5,117.0,0.22,7.0,10.6,0.039,32.0,3.05,0.55,0.28,0.99355
9.4,150.0,0.13,6.7,6.6,0.056,60.0,2.96,0.43,0.57,0.99548
13.1,113.0,0.39,5.7,4.9,0.033,49.0,3.26,0.58,0.25,0.98966
10.0,134.0,0.24,8.0,6.8,0.047,13.0,3.23,0.7,0.48,0.99616
10.2,163.0,0.2,7.0,0.8,0.044,19.0,3.46,0.53,0.74,0.9931
10.0,178.0,0.18,7.9,3.0,0.061,25.0,3.22,0.51,0.37,0.995
13.0,119.0,0.34,5.5,2.2,0.021,31.0,3.55,0.49,0.26,0.98919
10.1,142.0,0.29,6.0,15.55,0.043,20.0,3.11,0.54,0.21,0.99658
10.1,62.0,0.24,7.0,1.3,0.046,9.0,3.38,0.47,0.18,0.994
11.1,140.0,0.29,5.8,1.6,0.062,17.0,3.23,0.35,0.27,0.99138
9.4,184.0,0.28,7.1,7.8,0.04,48.0,3.16,0.5,0.19,0.99579
9.2,165.0,0.55,7.1,1.7,0.073,21.0,2.97,0.58,0.13,0.994
11.0,110.0,0.24,7.0,1.7,0.041,31.0,3.2,0.53,0.26,0.99142
13.4,85.0,0.42,6.6,2.8,0.034,15.0,3.28,0.51,0.33,0.99
13.4,129.0,0.5,5.2,2.0,0.036,23.0,3.36,0.77,0.18,0.98949
11.0,127.0,0.235,5.6,1.2,0.047,33.0,3.34,0.5,0.29,0.991
10.1,141.0,0.31,6.7,1.4,0.039,53.0,3.12,0.44,0.09,0.99206
10.2,159.0,0.245,9.0,5.9,0.045,52.0,2.93,0.35,0.38,0.995
9.2,94.0,0.25,6.1,15.8,0.052,25.0,3.07,0.45,0.48,0.99782
9.6,247.0,0.24,5.9,1.4,0.035,60.0,3.34,0.44,0.12,0.99358
12.5,122.0,0.22,7.0,9.2,0.027,37.0,3.06,0.34,0.26,0.99228
10.1,156.0,0.24,6.5,8.2,0.043,32.0,3.13,0.7,0.29,0.99453
9.2,124.0,0.19,5.8,10.8,0.042,33.0,3.22,0.41,0.25,0.99646
12.7,151.0,0.45,8.0,8.8,0.026,50.0,3.07,0.25,0.36,0.9927
9.6,236.0,0.54,6.9,13.2,0.05,53.0,3.2,0.5,0.32,0.9973
11.2,74.0,0.47,5.3,1.3,0.036,11.0,3.48,0.54,0.1,0.99082
9.5,201.0,0.2,6.0,5.3,0.075,49.0,3.21,0.43,0.24,0.99466
11.2,119.0,0.38,6.4,4.5,0.038,36.0,3.07,0.42,0.19,0.99151
11.0,114.0,0.29,7.4,3.8,0.044,30.0,3.11,0.4,0.25,0.992
9.1,253.0,0.28,8.3,17.5,0.045,48.0,3.02,0.56,0.27,1.00014
